fold,clf,accuracy,precision,recall,specificity,F1,roc_auc
0,"KNeighborsClassifier(metric='euclidean', n_neighbors=11)",0.7830334190231363,0.06910112359550562,0.7987012987012987,0.7827170207185943,0.12719751809720786,0.8403287965640444
1,"KNeighborsClassifier(metric='manhattan', n_neighbors=21)",0.7988431876606684,0.0674432863274065,0.7142857142857143,0.8005507474429583,0.12324929971988796,0.8314732408949561
2,"KNeighborsClassifier(metric='euclidean', n_neighbors=13)",0.7904884318766067,0.07242178447276941,0.8116883116883117,0.7900603199580383,0.13297872340425532,0.8572935718883792
3,"KNeighborsClassifier(metric='euclidean', n_neighbors=21)",0.8129820051413882,0.07571801566579635,0.7483870967741936,0.8142950819672131,0.13752222880853587,0.8575936541512428
4,"KNeighborsClassifier(metric='euclidean', n_neighbors=21)",0.8006426735218509,0.07072570725707257,0.7419354838709677,0.8018360655737705,0.1291409320606401,0.8344342675832892
